Pub_ID,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,"""Form""",Record_ID,Notes
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,capricornii,null,null,sp0000000198,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,mesodentatus,null,null,sp0000000199,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,albomaculatus,null,null,sp0000000200,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,panarchys,null,null,sp0000000201,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,soperi,null,null,sp0000000202,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,acutisentis,null,null,sp0000000203,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,equinus,null,null,sp0000000204,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,tropicalis,null,null,sp0000000205,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,splendens,null,null,sp0000000206,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,celeste,null,null,sp0000000207,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,iridicolor,null,null,sp0000000208,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,aeritinctus,null,null,sp0000000209,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,regalis,null,null,sp0000000210,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,lucifer,null,null,sp0000000211,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,argyromeris,null,null,sp0000000212,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,chalcospilans,null,null,sp0000000213,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,boshelli,null,null,sp0000000214,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,waverleyi,null,null,sp0000000215,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,signifera,null,null,sp0000000216,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,alba,null,null,sp0000000217,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,pulcripalpis,null,null,sp0000000218,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,kummi,null,null,sp0000000219,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,albicosta,null,null,sp0000000220,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,fascipes,null,null,sp0000000221,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,sampaioi,null,null,sp0000000222,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,phyllozoa,null,null,sp0000000223,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,vernoni,null,null,sp0000000224,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,milloti,null,null,sp0000000225,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,nkolbissonensis,null,null,sp0000000226,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,arboricollis,null,null,sp0000000227,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,flavicosta,null,null,sp0000000228,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,flavithorax,null,null,sp0000000229,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,madrensis,null,null,sp0000000230,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,siamensis,null,null,sp0000000231,
pub0000000007,Culicinae,Orthopodomyiini,Orthopodomyia,null,wilsoni,null,null,sp0000000232,
